categories,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64
"['2011_anime_films', 'Films_directed_by_Masahiko_Murata', 'Japanese_films', 'Films_by_director', 'Japanese_prison_films', 'Toho_animated_films', 'Viz_Media_anime', 'Naruto_films', '2010s_prison_films', '2011_films']",0.1710083,0.102307506,0.0,0.0,0.0,0.09989292,0.0,0.24498391,0.26665613,0.0,0.26424134,0.0,0.41747925,0.19923803,0.32834482,0.404062,0.0,0.11753457,0.13757972,1.1304939,0.08204306,0.0,0.0,0.8456313,0.4358371,0.0,0.0,0.0,0.0,0.18726973,0.0,0.0,0.03734444,0.080453925,0.33390597,0.0,0.28208107,0.26566434,1.0097446,0.28584632,0.0,0.0,0.0,0.13537809,0.0,0.49353865,0.0,0.31788614,0.0,0.24078695,0.0,0.18812175,0.0,0.0,0.23413034,0.0,0.13214116,0.0,0.9644478,0.0,0.6728641,0.13118814,0.28867856,0.0
"['English-language_films', 'Lionsgate_films', 'Canadian_aviation_films', 'Adaptations_of_works_by_Canadian_writers', 'Canadian_films', 'Films_about_solitude', 'Films_about_aviation_accidents_or_incidents', 'Films_about_transport_disasters']",0.7275689,0.0,0.5964481,0.20888972,0.66334397,0.0,0.1863515,0.2754179,0.0,0.009358067,0.7786982,0.2467098,0.1758803,0.0,0.0,0.26011103,0.26920265,0.0,0.66514045,0.67364484,0.0,0.24461696,0.2165702,0.39545247,0.18026073,0.8631908,0.44218832,0.0,0.0,0.0,0.18087767,0.15181261,0.0,0.0,0.6335904,0.19914426,0.0,0.0,0.61959803,0.0,0.23345539,0.29530555,0.7247831,0.0,0.0,0.0,0.16686887,0.43320224,0.46690497,0.7596673,0.256868,0.11351393,0.10966832,1.0983233,0.9652077,0.25601715,0.0,0.124862716,0.31620774,1.1963575,0.9981655,0.14169303,0.5846515,0.15057713
"['Films_set_in_British_Columbia', 'European_films_by_country', 'French_films', 'Films_with_screenplays_by_French_writers', '1980s_adventure_drama_films', 'Silent_films_by_country', 'Films_shot_in_Italy']",0.0,0.79528,1.291138,0.6526262,0.0,1.4379382,0.0,0.0,1.4634029,0.0,0.0,0.0,0.74810344,1.0862278,1.0274817,2.0440392,0.0,1.6541897,0.0,1.0973564,0.7646719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8774542,1.232912,0.0,0.0,0.03363802,0.30629557,0.0,0.0,1.7800812,0.0,1.048805,1.0534135,0.0,0.0,0.0,0.8814885,1.8542476,1.7452668,0.0,0.0,0.0,0.0,0.0,2.0911016,0.0,0.0,0.0,0.0,1.3892618,0.0,0.4220584,0.0,1.791142,1.7050183,1.273891,0.0
['New_Line_Cinema_films'],0.0,0.4188319,0.22354153,0.0,0.0,0.74053437,0.0,0.0,0.76960295,0.0,0.0,0.0,0.46171677,0.8467015,0.47585374,0.8753316,0.0,0.8741483,0.0,0.9433063,0.28986198,0.0,0.0,0.4427316,0.07579394,0.0,0.0,0.0,0.42144996,0.6205455,0.0,0.0,0.147525,0.27798146,0.09352028,0.0,1.0606043,0.26168248,0.87265646,0.70788795,0.0,0.0,0.0,0.6999089,0.81535214,1.3129679,0.0,0.0,0.0,0.0,0.0,1.0391283,0.0,0.0,0.0,0.0,0.72230774,0.0,0.77322227,0.0,0.98436975,0.6314505,0.48623526,0.0
"['1968_drama_films', 'Human_experimentation_in_fiction', 'American_science_fiction_drama_films', 'Films_about_mental_disability', 'Films_featuring_a_Best_Actor_Academy_Award-winning_performance', 'Films_shot_in_Massachusetts', 'Cinema_of_Massachusetts', 'Films_shot_in_the_United_States_by_state', 'Films_with_screenplays_by_Stirling_Silliphant', 'American_films_by_studio', '1960s_science_fiction_drama_films']",0.47730818,0.07789885,0.015860274,0.0,0.0,0.0,0.0,0.4307223,0.1680555,0.0,0.7415475,0.0,0.55460477,0.07240554,0.26314694,0.44834396,0.0,0.0,0.44717804,1.5067145,0.0,0.0,0.0,1.1480988,0.650094,0.20173927,0.07818118,0.0,0.0,0.043071095,0.0,0.0,0.0,0.02620957,0.6074444,0.0,0.14819758,0.26800022,1.4332902,0.24853764,0.0,0.010674582,0.0,0.0,0.0,0.12792055,0.0,0.53168744,0.016058002,0.70216143,0.0,0.027783182,0.0,0.2242225,0.704419,0.0,0.020689473,0.0,1.0540614,0.20439216,0.93174016,0.0890057,0.4129439,0.05225257
"['Films_set_in_Maine', 'Musicals_by_Rodgers_and_Hammerstein']",0.73865736,0.0,0.33351797,0.29425368,0.8152326,0.0,0.40779385,0.46661463,0.0,0.22117823,0.89789593,0.44314322,0.26844963,0.0,0.0,0.01248053,0.63343215,0.0,0.6018941,0.34516162,0.0,0.58471346,0.54637045,0.17106658,0.27553788,0.95437264,0.34183082,0.04416342,0.0,0.0,0.37466148,0.37939087,0.0,0.0,0.7746397,0.5073456,0.0,0.0,0.37126848,0.0,0.5831281,0.18854865,0.6408136,0.0,0.0,0.0,0.48794058,0.5158597,0.69649464,0.55039626,0.60600793,0.0,0.40777814,1.0074452,1.01677,0.67512214,0.0,0.41461796,0.17624702,1.2873732,0.50903076,0.0,0.34154788,0.39839828
"['Films_based_on_The_Hunchback_of_Notre-Dame', 'Cinema_of_France']",0.36273643,0.037840515,0.68707037,0.09545138,0.2636835,0.2432629,0.0,0.0,0.06694935,0.0,0.23293544,0.0,0.0,0.16781765,0.033516694,0.3340733,0.0,0.27535623,0.29297367,0.38422567,0.009241417,0.0,0.0,0.25505954,0.05018266,0.4126845,0.31493962,0.0,0.2633593,0.06820612,0.0,0.0,0.0,0.10479457,0.17593558,0.0,0.17384219,0.0,0.49025154,0.025816135,0.0,0.35780987,0.4553987,0.12532242,0.3230869,0.0,0.0,0.036119465,0.0,0.3952007,0.0,0.49544996,0.0,0.53217953,0.43818608,0.0,0.19906281,0.0,0.0,0.48971364,0.88547873,0.35847896,0.5554173,0.0
"['1941_films', 'Surreal_comedy']",0.62168485,0.0,0.4941448,0.09184199,0.54748964,0.0,0.13648495,0.20989497,0.0,0.0,0.76030207,0.029901322,0.25097314,0.0,0.0,0.29728818,0.02338594,0.0,0.68649954,0.8565882,0.0,0.11586792,0.08852137,0.5612305,0.2577009,0.74002486,0.42119572,0.0,0.0,0.0,0.033331405,0.09922545,0.0,0.0,0.6422947,0.12955938,0.0,0.0,0.6529677,0.0,0.14929035,0.44711193,0.65490055,0.0,0.0,0.0,0.0,0.41787523,0.36397496,0.7171417,0.039539,0.19233991,0.0,0.97432536,0.8799628,0.0,0.0,0.0709402,0.36835513,0.9862058,1.0451999,0.058370784,0.5163751,0.04927075
"['1990s_adventure_films', 'American_adventure_films']",0.3821814,0.35455656,0.9096814,0.0,0.07146909,0.42772108,0.0,0.0,0.2975191,0.0,0.302431,0.0,0.17553025,0.30694228,0.24052817,0.77107465,0.0,0.45517787,0.4569043,1.1971891,0.19372614,0.0,0.0,0.717719,0.06996014,0.3417443,0.3361726,0.0,0.41231552,0.26789242,0.0,0.0,0.0,0.26710477,0.25362375,0.0,0.4487245,0.0,0.8873936,0.20493333,0.0,0.46059877,0.44481775,0.37421826,0.4998319,0.24652283,0.0,0.0748008,0.0,0.51373464,0.0,0.86481744,0.0,0.64006007,0.5087987,0.0,0.40401763,0.0,0.56448954,0.46067193,1.5872188,0.5442537,0.876886,0.0
['Films_adapted_into_works'],0.57038146,0.0,0.51602566,0.18838955,0.5610105,0.0,0.15219834,0.16306555,0.0,0.027862975,0.5897486,0.14112058,0.13146019,0.0,0.0,0.19490227,0.11425448,0.0,0.5000901,0.44757473,0.0,0.15455374,0.13376151,0.28194314,0.15872811,0.6949427,0.35872167,0.0,0.0,0.0,0.099010356,0.12967072,0.0,0.0,0.5004038,0.16320229,0.0,0.0,0.47341344,0.0,0.21646167,0.32078892,0.60192925,0.0,0.0,0.0,0.16787682,0.3067679,0.33183378,0.5411603,0.13962409,0.15395354,0.10739235,0.834193,0.7482166,0.13773735,0.0,0.06747599,0.11762872,0.91588455,0.80046713,0.12881188,0.4436806,0.09922583
