,category,input,true,pred,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16
http://dbpedia.org/resource/Howardena_Pindell,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 11, 3, 873, 362, 5, 1, 1156, 314, 3, 6, 2805, 3013, 252, 1867, 1018, 527, 2, 79, 218, 8844, 1192, 8845, 5281, 2030, 4674, 5, 667, 570, 460, 788, 260, 317, 124, 64, 8, 1579, 822, 134, 1018, 2]",1,0,0.7487607,-0.22472374,0.55494195,-0.53737503,0.30342114,0.45249656,0.09518403,-0.25334877,0.18617171,-0.91813403,-0.7731206,0.15622811,-0.024365118,-0.1347224,0.019584415,-0.008646885
http://dbpedia.org/resource/James_Rosenquist,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 32, 22, 11, 3, 12, 7168, 477, 2, 63, 168, 1077, 127, 3243, 9, 698, 79, 1335, 411, 1406, 7169, 195, 2, 153, 4217, 460, 1231, 527, 683, 2, 642, 236, 285, 1949, 8877, 853, 496, 10, 79, 1517, 629, 159, 477, 2, 63, 2350, 2039, 3515, 7170, 698, 684, 555, 79, 898, 378, 591, 320, 4690, 2813, 285, 874, 7171, 277, 8878, 901, 14, 497, 592]",1,0,-0.25433534,-0.5548272,-0.7362421,0.24052934,0.90192896,0.74626946,0.66893744,0.6783483,0.9621742,-0.39957145,-1.0776703,0.84804004,-0.8135919,-1.0025057,-0.9243343,0.9678393
http://dbpedia.org/resource/Winslow_Homer,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8880, 4691, 28, 39, 11, 62, 1, 141, 36, 5, 548, 126, 83, 12, 1157, 65, 276, 365, 3246, 184, 11, 2, 949, 718, 4691, 118, 68, 127, 683, 67, 965, 274, 133, 9, 142, 135, 188, 10, 668, 6062, 7172, 619, 7, 35, 1261, 534, 504, 7173, 347, 1232, 228, 7174, 127]",1,1,-0.3286592,-1.9870617,-1.260831,1.7677693,2.4633846,1.7800794,2.313687,2.141666,2.2608492,-1.8131983,-1.7564329,2.081997,-1.5162967,-2.114289,-2.2867374,1.8239942
http://dbpedia.org/resource/Charles_Arnoldi,['http://dbpedia.org/resource/United_States'],"[7175, 7176, 6, 1587, 2815, 2, 15, 4692, 350, 8882, 171, 8882, 265, 154, 8883, 7177, 2, 514, 300, 406, 1407, 1233, 1520, 683, 773, 1234, 138, 4692, 5304, 1659, 2040, 454, 5305, 8884, 3517, 104, 4693, 370, 5306, 6063, 2, 190, 300, 406, 446, 1078, 1023, 734, 413, 1660, 513, 2, 1262, 4692, 118, 320, 4694, 3247, 6064, 4695, 3031, 10, 1112, 9, 501, 7178, 2816, 10, 7179, 501, 7180, 695, 5307, 1790, 671, 49, 3, 1724, 542, 673, 318, 160, 2491, 21, 2, 16, 238, 77, 46, 300, 406, 306, 196, 183, 3843, 1079, 3844, 172, 16, 7178, 173, 3032, 1336, 160, 2491, 21, 2, 875, 1135, 356, 214, 673, 446, 1024, 1232, 185, 115, 79, 898, 2352, 314, 1584, 1132, 6065, 118, 950, 64, 8, 471, 16, 421, 704, 51, 2817, 2818, 4696, 1135, 4697, 8, 543, 98, 735, 685, 855, 522, 4692, 169, 10, 300, 406]",0,0,1.7134272,1.0554653,1.0555569,-1.0158483,-0.66808033,-1.1332042,-0.75147194,-1.1894985,-0.78117025,-1.8445553,0.7065921,-0.8973278,1.2673907,0.9356689,0.74980813,-1.1461674
http://dbpedia.org/resource/Lyndall_Bass,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4221, 4, 33, 11, 243, 1, 111, 228, 902, 136, 430, 1082, 8, 1225, 184, 8, 169, 10, 736, 3035, 13, 192, 97, 1463, 6069, 3524, 7189, 214, 115]",0,0,0.2519214,0.3673452,-0.10897306,-0.43038964,-0.11622414,0.029227667,-0.2704988,-0.30716205,-0.24996997,1.1748831,-0.03336293,-0.27473167,-0.0280287,0.25037903,0.2701677,-0.10731165
http://dbpedia.org/resource/Pablo_O'Higgins,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1075, 5318, 4, 224, 6070, 22, 33, 3, 495, 67]",0,0,0.39545435,0.61816823,0.8590227,-0.3995179,-0.6874074,-0.7451998,-0.6655995,-0.5184925,-0.65008414,-0.4342886,0.98821807,-0.79735416,0.9110037,0.8034034,0.6953588,-0.8945501
http://dbpedia.org/resource/D._Omer_Seamon,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 5, 674, 73, 1238, 4709, 6, 235, 269, 2496, 792, 87, 95]",0,0,1.052994,0.33096832,0.9949032,-0.48514393,-0.34824598,0.12112435,-0.36438867,-0.44128838,-0.42415944,-0.54153186,-0.15436116,-0.45299459,0.30426195,0.5641979,0.61422515,-0.4878531
http://dbpedia.org/resource/Jacob_Kainen,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1239, 25, 22, 11, 1, 141, 7, 5, 2, 547, 108, 2228, 1021, 234, 330, 1512, 1230, 465, 857, 877, 3851, 1299, 1372, 465, 857, 419, 651, 75, 266, 2, 208, 257, 1657, 2497, 160, 6, 48, 46, 2]",0,0,0.30214837,0.31562614,0.008599019,-0.37566456,-0.50545883,-0.51244617,-0.44153672,-0.34911948,-0.43860996,0.07373677,0.48403352,-0.40006763,0.4785906,0.4385271,0.36025816,-0.39537278
http://dbpedia.org/resource/T._Allen_Lawson,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2230, 4228, 4, 29, 11, 3, 387, 62, 8, 2663, 126, 837, 36, 5, 50, 704, 251, 3528, 4229, 6, 668, 8918, 3242, 277, 427, 64, 122, 2047, 6078, 2663]",0,0,0.6318161,-0.43204024,0.15682372,-0.046423335,0.46542746,0.77918893,0.4622956,0.33850387,0.52520764,-0.151303,-0.81179094,0.51995593,-0.49045157,-0.54530287,-0.1895024,0.49740645
http://dbpedia.org/resource/Charles_Marion_Russell,['http://dbpedia.org/resource/United_States'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 3536, 1527, 22, 26, 7, 5, 150, 1527, 4718, 1527, 1527, 11, 3, 11, 410, 323, 124, 8, 7217, 245, 1466, 73, 335, 244, 87, 95, 7218, 415, 419, 1336, 318, 5, 3537, 3, 7, 6097, 152, 42, 2139, 245, 1466, 323, 2242, 8945, 4720, 456, 2666, 1664, 2667, 501, 3830, 1801, 4720, 150, 1527, 21, 1006, 170, 6098, 2666, 1599, 1527, 810, 375, 496, 7219, 135, 146, 176, 2666, 186, 153, 3263, 2666, 2140, 2504, 514, 323, 5335, 21, 11, 2, 3538, 6099, 779, 7220, 21, 3538, 6099, 381, 1665, 1600, 3865, 3539, 2668, 225, 4237, 780, 3263, 9, 436, 812, 1043, 2505, 497, 170, 48, 3537, 244, 1086, 21]",0,0,0.35159662,-0.001911965,0.16534042,-0.20555273,-0.2772926,0.1400344,-0.27883083,0.01598072,-0.3131115,-0.57575345,0.020067632,-0.20692924,-0.016957982,0.18990898,0.3136234,-0.22262469
