,category,input,true,pred,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16
http://dbpedia.org/resource/Étienne_Moreau-Nélaton,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3827, 6045, 1403, 25, 27, 23, 1, 2, 651, 2, 547, 175, 160, 316, 176, 23, 48, 212]",1,1,-1.6225575,-1.846826,-1.5336787,2.0640829,1.1718092,1.7471279,1.8566988,2.0863743,1.8824168,2.0948312,-1.6867499,2.0227385,-2.0316827,-2.0747943,-1.8383843,2.0037358
http://dbpedia.org/resource/Eugène_Delacroix,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1580, 1074, 1716, 3231, 23, 27, 29, 23, 395, 3, 164, 68, 944, 23, 395, 15, 3831, 896, 1404, 3232, 2648, 3231, 274, 753, 2, 1581, 65, 702, 226, 2034, 386, 63, 695, 3832, 5284, 3503, 8850, 304, 1019, 395, 1944, 668, 396, 221, 7149, 357, 493, 1871, 358, 653, 2, 1110, 400, 769, 2124, 2482, 503, 1131, 5285, 8851, 3231, 7, 334, 2483, 6052, 1945, 586, 2339, 4678, 277, 79, 3233, 1460, 328, 3231, 669, 3833, 8852, 1717, 2218, 6053, 3231, 670, 1582, 8853, 1510, 1582, 2340, 3506, 324, 2648, 3231, 83, 12, 222, 410, 494, 9, 12, 1159, 6054, 1, 495, 214, 1224, 2649, 326, 3234, 945, 386, 4209, 3235, 6, 1872, 1582, 2482, 334, 14, 1225, 63, 69, 603, 3231, 451, 240, 10, 182, 3017, 461, 152, 833, 2035, 75, 152, 996, 4210, 507, 4679]",1,0,0.16153395,-1.6436149,-0.6446542,1.0025874,2.350232,1.4699627,1.8253046,1.2863214,2.0647445,-1.4192768,-1.6006311,1.7753513,-0.9505232,-1.5713817,-1.7153842,1.2409618
http://dbpedia.org/resource/Gustave_Doré,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 2809, 340, 641, 234, 23, 20, 20, 23, 3, 141, 67, 1, 1292, 3, 948, 52, 36, 5, 347, 1584, 233, 2344, 1874, 113, 47, 2344, 3835, 808, 170, 123, 434, 36, 5, 3, 751, 356, 185, 411, 5287, 97, 1788, 68, 898, 3236, 134, 3237, 3836, 1512, 6049, 576, 7, 2487, 1037, 124, 193, 106, 7156, 1947, 4683, 175, 752, 7157, 2345, 1076, 128, 1159, 1875, 135, 67, 117, 7158, 38, 961, 134, 669, 79, 998, 185, 8856, 513, 41, 8, 364, 310, 1193, 49, 8, 254, 1133, 126, 1718, 175, 4684, 164, 577, 3022, 138, 2223, 50, 3238, 73, 140, 92]",1,1,-1.0846603,-2.4253218,-2.459727,2.9422944,2.8744307,1.9299971,2.7988877,2.4720144,2.5824096,0.08563706,-2.0429428,2.538521,-2.0816393,-2.3942344,-2.9152439,2.2672536
http://dbpedia.org/resource/Jean_Metzinger,['http://dbpedia.org/resource/France'],"[411, 103, 88, 1948, 3027, 5297, 100, 1516, 16, 55, 59, 2811, 411, 155, 1197, 4686, 208, 4214, 63, 435, 4215, 554, 387, 1879, 5298, 2, 1655, 304, 4687, 771, 1721, 2655, 572, 1880, 1721, 13, 1022, 2489, 604, 5299, 2, 900, 1722, 357, 139, 2128, 835, 7163, 9, 7164, 757, 533, 3512, 1162, 3841, 118, 130, 119, 8868, 1163, 17, 8869, 2812, 7165, 412, 1723, 1134, 5300, 554, 2656, 304, 42, 109, 341, 4216, 485, 23, 195, 2811, 8870, 4215, 554, 8871, 6059, 6060, 129, 733, 412, 145, 604, 3242, 14, 3028, 277, 695, 277, 1260, 3029, 8872, 195, 30, 107, 106, 125, 672, 2811, 493, 1229, 1295, 772, 1656, 145, 335, 7164, 1511, 55, 2490, 3842, 72, 470, 433, 8873, 1334, 1000, 4688, 3024, 528, 4687, 277, 753, 7166, 455, 8874, 12, 618, 8875, 3030, 1230, 175, 9, 2811, 139, 8876, 4689, 49, 1135, 7167, 1022, 7, 131]",1,1,-0.83763725,-2.3071609,-1.8797613,2.4338155,2.7246258,1.7930936,2.5822852,2.657358,2.3403144,-0.7646071,-1.8107945,2.4219759,-1.6594108,-2.3210561,-2.529906,2.0773995
http://dbpedia.org/resource/Jean-Baptiste_Carpeaux,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1881, 24, 26, 23, 52, 1, 208, 389, 1950, 1164]",1,0,-2.0044727,-1.1030828,-1.3126389,1.2390435,0.12404248,1.179084,0.4911535,1.4251266,0.6214336,1.169929,-0.79075295,0.9457877,-1.7535254,-1.3189906,-0.6241963,1.3593404
http://dbpedia.org/resource/Marc-Édouard_Nabe,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8892, 4, 4702, 2820, 2821, 25, 23, 84, 1, 1025, 1661, 168, 1521, 86, 1001, 47, 8892, 117, 16, 121, 4689, 270, 1370, 1725, 470, 23, 452, 2492, 113, 117, 240, 23, 2657, 8892, 4682, 2822, 1588, 219, 152, 1791, 759, 4703, 1589, 654, 42, 16, 8893, 121, 4703, 135, 487, 143, 94]",0,0,0.022097135,0.4863642,0.3155349,-0.4080986,-0.45480713,-0.41326642,-0.3841296,-0.28407234,-0.37913495,-0.49900812,0.2704473,-0.33731347,0.2192823,0.3783083,0.39954537,-0.19619018
http://dbpedia.org/resource/Georges_Yatridès,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 899, 22, 32, 23, 1, 6, 176, 240, 400, 11, 286, 146, 392, 3253]",0,0,-0.08479768,-0.49224803,0.36227804,0.13295056,0.099764384,0.75376195,0.022766266,-0.24797182,0.14299238,-0.2876248,-0.6734869,0.20762685,-0.28471193,-0.18639468,0.21796536,0.10371309
http://dbpedia.org/resource/Marie-Thérèse_Reboul,['http://dbpedia.org/resource/France'],"[811, 125, 126, 136, 430, 737, 147, 1, 6076, 3852, 45, 1137, 3254, 2498, 225, 209, 506, 6076, 8914, 2045, 3255, 24, 422, 7194, 3853, 1464, 982, 3037, 3852, 3525, 5322, 23, 1411, 1886, 8915, 5294, 372, 23, 3854, 1263, 1373, 17, 3037, 3852, 12, 2499, 215, 1407, 885, 7195, 196, 125, 675, 2358, 17, 2128, 835, 17, 173, 43, 2046, 196, 147, 6076, 3852, 45, 115, 222, 447, 42, 1412, 3037, 8914, 506, 203, 40, 675, 3526, 357, 4226, 72, 3037, 3852, 219, 1, 1200, 7196, 1167, 737, 6077, 1138, 3855, 1465, 104, 8916, 8916, 3247, 738, 5323, 675, 82, 10, 2825, 183, 674, 7197, 4227, 476, 3038, 210, 523, 7198, 3038, 306, 7199, 431, 3039, 1887, 7197, 476, 9, 50, 170, 8917, 5324, 1337, 47, 7200, 5325, 200, 7197, 3256, 2229, 7197, 4710, 3527, 858, 86, 3037, 8914, 10, 1083, 2359, 170, 138, 1591, 70, 674, 900, 1338]",0,0,0.48954043,-0.83642733,0.06538208,0.3131986,1.1325473,1.1795468,0.8989324,0.97692853,1.1890074,-0.8670849,-1.124219,0.92054754,-0.74881375,-0.9312991,-0.68208164,0.9317017
http://dbpedia.org/resource/Aristide_Maillol,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8973, 337, 23, 25, 39, 23, 52, 1, 141]",1,0,-2.3613102,-1.2215849,-1.9166983,1.2568824,0.1283612,1.2977036,0.71090734,1.6197851,0.6815932,2.5515463,-0.8909785,1.1792645,-1.8182824,-1.5409541,-1.089418,1.8885777
http://dbpedia.org/resource/Berthe_Morisot,['http://dbpedia.org/resource/France'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5348, 797, 8974, 4731, 23, 20, 22, 23, 1, 40, 927, 65, 43, 42, 5, 1872, 4731, 82, 16, 72, 292, 5349, 431, 17, 43, 3875, 330, 7195, 431, 529, 1534, 77, 675, 270, 722, 43, 6, 1601, 77, 696, 1379, 2825, 492, 2144, 1872, 16, 119, 183, 224, 1963, 3279, 5350, 1373, 3052, 2673, 2674, 4732, 1894, 905, 176, 188, 256, 4731, 336, 3548, 12, 306, 1078, 308, 119, 4731, 147, 1716, 3876, 258, 503, 2371, 2821, 3876, 219, 2809, 12, 1085, 7247, 8975, 7248, 557, 709, 797, 5351, 508, 6113]",1,1,-0.9810847,-2.033542,-1.6239372,2.0467784,2.5608501,1.8405967,2.608499,2.401447,2.4411306,-1.2763542,-1.7578067,2.3946638,-1.6309214,-2.214526,-2.4924417,2.1326919
